stim_id,superordinate,np,adj,response,response_hand_lemma
41,statues,platinum,expensive,decorations,decoration
41,statues,platinum,expensive,items in the shop,items in the shop
41,statues,platinum,expensive,materials,materials
41,statues,platinum,expensive,metals,metal
42,rentals,apartment,cheap,places,places
42,rentals,apartment,cheap,places to live.,places to live
42,rentals,apartment,expensive,homes,house
42,rentals,apartment,expensive,house,house
42,rentals,apartment,expensive,places,places
42,rentals,apartment,expensive,places to live,places to live
42,rentals,villa,cheap,homes,house
42,rentals,villa,cheap,houses,house
42,rentals,villa,cheap,places,places
42,rentals,villa,cheap,places to live,places to live
42,rentals,villa,expensive,homes,house
42,rentals,villa,expensive,houses,house
42,rentals,villa,expensive,places to live,places to live
44,spices,garlic,cheap,prices,price
44,spices,garlic,cheap,stores,shops
44,spices,garlic,expensive,condiments,condiments
44,spices,garlic,expensive,stores,shops
44,spices,saffron,cheap,prices,price
44,spices,saffron,expensive,condiments,condiments
44,spices,saffron,expensive,price,price
44,spices,saffron,expensive,products,product
44,spices,salt,cheap,condiments,condiments
44,spices,salt,cheap,prices,price
44,spices,salt,cheap,products,product
44,spices,salt,cheap,stores,shops
44,spices,salt,expensive,products,product
44,spices,salt,expensive,stores,shops
45,bracelets,gold,cheap,jewelry,jewelry
45,bracelets,gold,expensive,jewelry,jewelry
45,bracelets,metal,cheap,jewelry,jewelry
45,bracelets,metal,expensive,jewelery,jewelry
45,bracelets,metal,expensive,jewelry,jewelry
45,bracelets,plastic,cheap,jewelry,jewelry
45,bracelets,plastic,expensive,jewelry,jewelry
45,bracelets,plastic,expensive,jewlery,jewelry
47,berries,boysenberries,cheap,fruit,fruit
47,berries,boysenberries,cheap,fruits,fruit
47,berries,boysenberries,expensive,foods,food
47,berries,boysenberries,expensive,fruit,fruit
47,berries,boysenberries,expensive,fruits,fruit
47,berries,raspberries,cheap,fruit,fruit
47,berries,raspberries,cheap,fruits,fruit
47,berries,raspberries,cheap,stores,shops
47,berries,raspberries,expensive,fruit,fruit
47,berries,raspberries,expensive,fruits,fruit
47,berries,raspberries,expensive,stores,shops
47,berries,strawberries,cheap,fruit,fruit
47,berries,strawberries,cheap,fruits,fruit
47,berries,strawberries,cheap,stores,shops
47,berries,strawberries,expensive,foods,food
47,berries,strawberries,expensive,fruit,fruit
47,berries,strawberries,expensive,fruits,fruit
48,meat,chicken,cheap,butcher shops,butcher shops
48,meat,chicken,cheap,food,food
48,meat,chicken,cheap,foods,food
48,meat,chicken,expensive,butcher shops,butcher shops
48,meat,chicken,expensive,butchershops,butcher shops
48,meat,chicken,expensive,food,food
48,meat,pork,cheap,butchershops,butcher shops
48,meat,pork,expensive,butchershops,butcher shops
48,meat,steak,cheap,food,food
48,meat,steak,expensive,butchershops,butcher shops
48,meat,steak,expensive,food,food
48,meat,steak,expensive,foods,food
49,alcoholic drinks,bottle of top-shelf liquor,cheap,stores,shops
49,alcoholic drinks,bottle of top-shelf liquor,expensive,bottles,bottles
49,alcoholic drinks,bottle of wine,cheap,bottles,bottles
49,alcoholic drinks,six-pack of beer,cheap,stores,shops
49,alcoholic drinks,six-pack of beer,expensive,stores,shops
50,restaurants,Chinese restaurant,cheap,dinner,dinner
50,restaurants,Chinese restaurant,cheap,dinners,dinner
50,restaurants,Chinese restaurant,cheap,food,food
50,restaurants,Chinese restaurant,cheap,menu,menu
50,restaurants,Chinese restaurant,cheap,menus,menu
50,restaurants,Chinese restaurant,cheap,places for dinner,places for dinner
50,restaurants,Chinese restaurant,cheap,restaurant prices,restaurant price
50,restaurants,Chinese restaurant,expensive,dinner,dinner
50,restaurants,Chinese restaurant,expensive,dinners,dinner
50,restaurants,Japanese restaurant,cheap,dinner,dinner
50,restaurants,Japanese restaurant,cheap,food,food
50,restaurants,Japanese restaurant,cheap,menus,menu
50,restaurants,Japanese restaurant,cheap,places for dinner,places for dinner
50,restaurants,Japanese restaurant,expensive,dinner,dinner
50,restaurants,Japanese restaurant,expensive,menus,menu
50,restaurants,Japanese restaurant,expensive,restaurant prices,restaurant price
50,restaurants,Korean restaurant,cheap,food,food
50,restaurants,Korean restaurant,cheap,places for dinner,places for dinner
50,restaurants,Korean restaurant,expensive,menu,menu
50,restaurants,Korean restaurant,expensive,menus,menu
50,restaurants,Korean restaurant,expensive,restaurant prices,restaurant price
51,plants,bush,small,stores,shops
51,plants,flower,big,stores,shops
51,plants,tree,big,stores,shops
54,fruit,kumquat,small,vegetables,vegetables
54,fruit,watermelon,big,melons,melons
55,fish,herring,big,animals,animals
55,fish,herring,big,birds,birds
55,fish,herring,small,animals,animals
55,fish,herring,small,birds,birds
55,fish,shark,big,animals,animals
55,fish,shark,small,animals,animals
56,vehicles,sedan,big,cars,cars
56,vehicles,sedan,small,automobiles,cars
56,vehicles,sedan,small,cars,cars
56,vehicles,smartcar,big,cars,cars
56,vehicles,smartcar,small,automobiles,cars
56,vehicles,smartcar,small,car's,cars
56,vehicles,smartcar,small,cars,cars
56,vehicles,truck,big,cars,cars
56,vehicles,truck,small,cars,cars
59,people,jogger,fast,runners,runners
59,people,jogger,slow,other runners,runners
59,people,jogger,slow,runners,runners
61,cookware,crockpot,quick,appliances,appliances
61,cookware,crockpot,quick,cooking appliances,cooking appliances
61,cookware,crockpot,quick,cooking methods,cooking methods
61,cookware,crockpot,quick,dinners,dinner
61,cookware,crockpot,quick,meals,meals
61,cookware,crockpot,quick,methods of cooking,methods of cooking
61,cookware,crockpot,quick,pots,pots
61,cookware,crockpot,slow,appliances,appliances
61,cookware,crockpot,slow,cooking methods,cooking methods
61,cookware,crockpot,slow,cooking methods.,cooking methods
61,cookware,crockpot,slow,meals,meals
61,cookware,crockpot,slow,methods,methods
61,cookware,crockpot,slow,methods of cooking,methods of cooking
61,cookware,crockpot,slow,pots,pots
61,cookware,frying pan,quick,cooking methods,cooking methods
61,cookware,frying pan,quick,dinner,dinner
61,cookware,frying pan,quick,dinners,dinner
61,cookware,frying pan,quick,meals,meals
61,cookware,frying pan,quick,methods,methods
61,cookware,frying pan,quick,methods of cooking,methods of cooking
