stim_id,superordinate,np,adj,response,response_hand_lemma,label
41,statues,platinum,expensive,materials,materials,super
41,statues,platinum,expensive,metals,metal,intermediate
42,rentals,apartment,cheap,places,places,supersuper
42,rentals,apartment,cheap,places to live.,places to live,supersuper
42,rentals,apartment,expensive,homes,house,supersuper
42,rentals,apartment,expensive,house,house,supersuper
42,rentals,apartment,expensive,places,places,supersuper
42,rentals,apartment,expensive,places to live,places to live,supersuper
42,rentals,villa,cheap,homes,house,supersuper
42,rentals,villa,cheap,houses,house,supersuper
42,rentals,villa,cheap,places,places,supersuper
42,rentals,villa,cheap,places to live,places to live,supersuper
42,rentals,villa,expensive,homes,house,supersuper
42,rentals,villa,expensive,houses,house,supersuper
42,rentals,villa,expensive,places to live,places to live,supersuper
44,spices,garlic,cheap,prices,price,scale
44,spices,garlic,cheap,stores,shops,diff
44,spices,garlic,expensive,condiments,condiments,diff
44,spices,garlic,expensive,stores,shops,diff
44,spices,saffron,cheap,prices,price,scale
44,spices,saffron,expensive,condiments,condiments,diff
44,spices,saffron,expensive,price,price,scale
44,spices,saffron,expensive,products,product,supersuper
44,spices,salt,cheap,condiments,condiments,diff
44,spices,salt,cheap,prices,price,scale
44,spices,salt,cheap,products,product,supersuper
44,spices,salt,cheap,stores,shops,diff
44,spices,salt,expensive,products,product,supersuper
44,spices,salt,expensive,stores,shops,diff
45,bracelets,gold,cheap,jewelry,jewelry,supersuper
45,bracelets,gold,expensive,jewelry,jewelry,supersuper
45,bracelets,metal,cheap,jewelry,jewelry,supersuper
45,bracelets,metal,expensive,jewelery,jewelry,supersuper
45,bracelets,metal,expensive,jewelry,jewelry,supersuper
45,bracelets,plastic,cheap,jewelry,jewelry,supersuper
45,bracelets,plastic,expensive,jewelry,jewelry,supersuper
45,bracelets,plastic,expensive,jewlery,jewelry,supersuper
47,berries,boysenberries,cheap,fruit,fruit,supersuper
47,berries,boysenberries,cheap,fruits,fruit,supersuper
47,berries,boysenberries,expensive,foods,food,supersuper
47,berries,boysenberries,expensive,fruit,fruit,supersuper
47,berries,boysenberries,expensive,fruits,fruit,supersuper
47,berries,raspberries,cheap,fruit,fruit,supersuper
47,berries,raspberries,cheap,fruits,fruit,supersuper
47,berries,raspberries,cheap,stores,shops,diff
47,berries,raspberries,expensive,fruit,fruit,supersuper
47,berries,raspberries,expensive,fruits,fruit,supersuper
47,berries,raspberries,expensive,stores,shops,diff
47,berries,strawberries,cheap,fruit,fruit,supersuper
47,berries,strawberries,cheap,fruits,fruit,supersuper
47,berries,strawberries,cheap,stores,shops,diff
47,berries,strawberries,expensive,foods,food,supersuper
47,berries,strawberries,expensive,fruit,fruit,supersuper
47,berries,strawberries,expensive,fruits,fruit,supersuper
48,meat,chicken,cheap,butcher shops,butcher shops,diff
48,meat,chicken,cheap,food,food,supersuper
48,meat,chicken,cheap,foods,food,supersuper
48,meat,chicken,expensive,butcher shops,butcher shops,diff
